British Columbia. Mining Recorder.,1
United Church of Canada. Woman's Missionary Society,1
Grandview United Young People's Society,1
Province of British Columbia,2
British Columbia Heritage Trust,1
Chinatown Historic Area Planning Committee,1
New Summits College,1
Chinese Canadian Heritage Fund,1
Province (Newspaper),7
"Welldon, Christine",1
"Poon, Joanne Mei-Chu",1
Asia Pacific Foundation of Canada,2
Vancouver (Magazine),1
True Light Chinese School,1
"Lam, David",1
"Hing, S. Y.",1
Crystal Bakery,1
"Ching, Lee K.",1
Chinese Herb Co.,2
Hotel Mar,1
Mark Ten Suie Trading Company,1
Chinese Band of Portland,1
Washington (Territory). Auditor.,1
Legislative Assembly of the Territory of Washington,1
First District of California,1
"Smith, George Venable",1
"Shorey, Sam",1
"Hanawalt, John",1
Bing Kong Tong,1
"Emery, C.D.",1
"Gay, W.R.",1
"Wilder, Charles T.",1
"Claypool, Charles E.",1
Medford House,1
California Restaurant,1
Waterman & Katz Building,1
"Howe, Walter S.",1
"Yip, Mow",17
"Yip, Kew Him",5
"Yip, Gibb",4
"Yip, Sang",13
"Curtis, M. Louise",1
"Lewis, J. Baines",1
"Hodges, J.K.",1
"Yip, Cecil See",1
Tapestry New Opera Works,1
Canadian International Dragon Boat Festival,2
Canada. Privy Council,1
"Forster, J.J.",1
"Cumyow, Won Alexander",1
"Yip, Kew Ming",1
"Yip, Wing See",15
Salvation Army,2
Knights of Columbua,1
Photogelatine Engraving Co.,1
Chinese Canadian Association,3
"Shaw, C.G.",1
Pender Y.W.C.A,1
Chinese Merchants of Vancouver,1
Morley Co. Ltd.,2
Kuo Seun Co.,1
Trans-Nation Emporium,1
Gim Lee Yuen Limited,1
"Choy, Wayson",1
Hong Wo & Co.,1
Canadian and Oriental Trading Company,1
G. High Company,1
Eng Chow Company,2
National Executive Council of the Canadian Steel Chinese Grit Documentary,1
"Paulsson, Erik",1
"Bruk, John",1
City of Kelowna,1
Columbia Transfer Company,1
"Meany, Edmond S.",1
"Daily Colonist (Victoria, B.C.)",2
"Phillips, James W.",1
"Mitchell, William",1
"Campbell-Johnston, Amy E.C.",1
"Menzies, Thomas Philip Oxenham",1
"Eastham, J.W.",2
"Art, Historical and Scientific Association of Vancouver",1
City of Vancouver,2
"Twiss, William J.",1
Harpers Weekly,1
Silver Spring Brewery Limited,1
"Lawrence, Annie",1
"McMorrow, John",2
"Lawrence, Clare",1
"Yip, Graham",1
"Choko, Marc H.",1
"Jones, David L.",1
"Unwin, Alec",1
"Angus, Fred F.",1
"Cleator, Iain G.M.",1
"D'Altroy, A.R.",1
"Hesketh, Les.",1
Canadian Airlines International,1
"Cameron, Allan",1
Canadian Pacific Irrigation Colonization Company,1
"Norman, Henry",1
"Nichol, Alex",1
"Thornley, Betty",4
"Macbeth, Madge",2
"Milligan, Doris S.",1
"Thompson, George S.",1
Vancouver Historical Society,1
"Lavallée, Omer",4
"Richeson, David R.",1
"Peach, Jack",1
"Leader-Post, Regina",1
"Devon, James",1
"Fraser, James Alexander",1
"Gibson, Joyce",1
Westin Hotel,1
"Yandle, Anne",1
"McKee, Wm. C.",1
"Trade Show Managers, Inc.",1
Vancouver Hotel Company Limited,1
