,0
286,[unknown]
287,[unknown]
288,[unknown]
289,[unknown]
290,[unknown]
291,Mappin and Webb
292,[unknown]
293,[unknown]
294,[unknown]
295,[unknown]
296,[unknown]
297,[unknown]
298,[unknown]
299,[unknown]
300,[unknown]
301,[unknown]
302,[unknown]
303,[unknown]
304,[unknown]
305,[unknown]
306,[unknown]
307,[unknown]
308,[unknown]
309,[unknown]
310,[unknown]
311,[unknown]
312,[unknown]
313,[unknown]
314,Elkington and Company
315,Mappin and Webb
316,Elkington and Company
317,Elkington and Company
318,[unknown]
319,"British Silverware, Ltd.,  Mappin and Webb"
320,Elkington and Company
321,[unknown]
322,Mitchell
323,Mappin and Webb
324,Mappin and Webb
325,[unknown]
326,Mappin and Webb
327,[unknown]
328,[unknown]
332,[unknown]
333,[unknown]
334,[unknown]
335,[unknown]
336,Elkington and Company
337,[unknown]
338,[unknown]
339,[unknown]
340,[unknown]
341,[unknown]
342,Elkington and Company
343,Elkington and Company
344,[unknown]
345,Mappin and Webb
346,[unknown]
347,[unknown]
348,Taylor and Kent
349,Taylor and Kent
350,Elizabethan Fine Bone China
351,Sutherland
352,Sutherland
353,Elizabethan Fine Bone China
354,Collingwood China Ltd.
355,Collingwood China Ltd.
356,[unknown]
357,[unknown]
358,[unknown]
359,[unknown]
360,[unknown]
361,[unknown]
362,[unknown]
363,[unknown]
364,[unknown]
365,[unknown]
366,[unknown]
367,[unknown]
368,Dominion Glass Company
369,[unknown]
370,[unknown]
371,[unknown]
372,[unknown]
373,[unknown]
374,[unknown]
375,Limoges
376,Limoges
377,Limoges
378,Limoges
379,Limoges
380,Limoges
381,Limoges
382,Limoges
389,Alfred Meakin
390,Royal Worcester
391,Royal Worcester
392,Alfred Meakin
393,Alfred Meakin
394,Alfred Meakin
395,Alfred Meakin
396,Alfred Meakin
397,Alfred Meakin
398,Hall China Company
399,Hall China Company
400,Alfred Meakin
401,Medalta
402,Medalta
403,Medalta
404,Royal Worcester
405,John Maddock and Sons
406,J. and G. Meakin
407,Ridgway Potteries
408,North Staffordshire Pottery Company
