Old,New
"B.C. Fishing & Packing Co., Ltd.","British Columbia Fishing & Packing Co., Ltd."
B.C. Packers Association,British Columbia Packers Association
Bailey Bros.,Bailey Brothers Company
"Bailey Bros. [Bailey, Charles S.]","Bailey Brothers Company; [Bailey, Charles S.]"
Bailey Brothers Photo,Bailey Brothers Company
"Bailey, W. F.","Bailey, W.F."
"Baker, S. H.","Baker, S.H."
"Bale, Stewart","Bale, Stewart"
Banff Springs Hotel Canadian Pacific Railway,Canadian Pacific Railway Company
Banfield Black & Banfield Ltd.,Banfield Black & Banfield Ltd.
"Bannard, John L.","Bannard, John L."
Barbrach,Unknown
"Barclay, J.","Barclay, J."
"Baring, Edward Charles","Baring, Edward Charles"
"Bates, Philip S.","Bates, Philip S."
Baxter-Davis Advertising Company,Baxter-Davis Advertising Company
Beals,"Beals, Henry Sherman"
"Beatty, Edward","Beatty, Edward"
"Beaugrand, M.Honor","Beaugrand, Honore"
"Beaven, Robert","Beaven, Robert"
"Beck, S. E.","Beck, S.E."
Bedford Lemere & Company,Bedford Lemere and Co. architectural photographers
Bedford Lemere and Co. architectural photographers,Bedford Lemere and Co. architectural photographers
"Bell, H. P.","Bell, H.P."
"Bell, Robert","Bell, Robert"
"Biggar, E. B.","Biggar, E.B."
Birks,Birks
"Blake, Arthur E.","Blake, Arthur E."
"Blake, Edward W.","Blake, Edward W."
Blue Star Line,Blue Star Line
"Blunt, C. D.","Blunt, C.D."
Board of Conciliation and Investigation,Government of Canada. Board of Conciliation and Investigation. 
Board of Trade,Canadian Pacific Steamship Company
Board of Transport Commissioners for Canada,Canada. Board of Transport Commissioners
"Boch, Basil","Boch, Basil"
"Bonestell, Chesley","Bonestell, Chesley"
Boorne ; May,Boorne and May
Borden,"Borchers, Louis"
"Borden, Robert L.","Borden, Robert Laird"
"Bourinot, J. G.","Bourinot, J.G."
Bourne & May Ltd.,Bourne & May Ltd.
"Bowen, Frank C.","Bowen, Frank C."
"Boyd, J.F.","Boyd, J.F."
Bradley & Rulofson,Bradley & Rulofson
Brandon Board of Trade,Brandon Board of Trade
Brandon Yip,"Yip, Brandon"
Brewster Transport,Brewster Transport Company
Brewster Transport Company,Brewster Transport Company
Britain. Board of Trade,Britain. Board of Trade
British Association for the Advancement of Science,British Association for the Advancement of Science
British Association of Winnipeg,British Association of Winnipeg
British Columbia Audit Office,British Columbia Audit Office
British Columbia Cattle Company,British Columbia Cattle Company
British Columbia Heritage Trust,British Columbia Heritage Trust
British Columbia Legislative Association,British Columbia Legislative Association
British Columbia Railway,British Columbia Railway Company
British Empire Service League. Canadian Legion,British Empire Service League. Canadian Legion
"Brodie, H. W.","Brodie, H.W."
Brotherhood of Locomotive Firemen and Enginemen,Brotherhood of Locomotive Firemen and Enginemen
