Old,New
Cranbrook Railway Museum,Cranbrook Railway Museum
"Crane, Frank","Crane, Frank"
"Crawford, Lawrence","Crawford, Lawrence"
"Crockart, James","Crockart, James"
Crown,Crown Staffordshire Porcelain Co. Ltd.
"Crump, N. R.","Crump, N.R."
"Crump, Nicholas","Crump, Nicholas"
Crystal Bakery,Crystal Bakery
Cumming Brothers,Cumming Brothers
"Cumyow, Won Alexander","Cumyow, Won Alexander"
"Curtis, M. Louise","Curtis, M. Louise"
"D'Altroy, A. R.","D'Altroy, A.R."
Dart Coon Club,Dart Coon Club
"David, Kitty","David, Kitty"
"Davidson, Charles","Davidson, Charles"
"Davidson, I.G.","Davidson, I.G."
"Davies, John","Davies, John"
"Dawson, S. J.","Dawson, S.J."
"Day, Harold","Day, Harold"
"De Laval, John","De Laval, John"
Dedman's Photo Shop,Dedman's Photo Shop
"DeMorgan, E.","DeMorgan, E."
"DeMorgan, S. A.","DeMorgan, S.A."
"DeMuth, Flora","DeMuth, Flora"
Department of Immigration and Colonization,Government of Canada. Department of Immigration and Colonization.
Department of Immigration and Colonization Chinese Immigration Service,Government of Canada. Department of Immigration and Colonization. Chinese Immigration Service. 
Designers Three Inc.,Deisgners Three Incorporated 
Deutsche Zentrale Fur Fremdenverkehr,Deutsche Zentrale Fur Fremdenverkehr
"Devon, James","Devon, James"
"Dewdney, E.","Dewdney, E."
"Dickson, Charles","Dixon, Charles"
"Dixon, Charles","Dixon, Charles"
"Doberck, W.","Doberck, W."
Dodie,Dodie
Dollar Steamship Line,Dollar Steamship Line
Dominion Express Company,Dominion Express Company
Dominion Glass Company,Dominion Glass Company
Dominion of Canada. Minister of Railways and Canals,Dominion of Canada. Minister of Railways and Canals
"Don, Wong","Don, Wong"
"Douglas, L. D.","Douglas, L.D."
"Dring, H. G.","Dring, H.G."
"Dunsmuir, James, 1851-1920.","Dunsmuir, James"
"Dunsmuir, Robert, 1825-1889","Dunsmuir, Robert"
E. Chapman Ltd.,E. Chapman Limited
E.T. Wright & Company,E.T. Wright & Company
"Eastham, J. W.","Eastham, J.W."
"Eastham, J.W.","Eastham, J.W."
Eddy Match Company Canada,"Eddy Match Company (Quebec, Canada)"
"Edwards, Gillespie","Edwards, Gillespie"
Elizabethan fine bone china,Elizabethan Fine Bone China
"Elkan, Carl Heinz","Elkan, Karl Heinz"
"Elkan, Karl Heinz","Elkan, Karl Heinz"
Elkington and Company,Elkington and Company
"Elliot, Charles","Elliot, Charles"
"Elliott, Frank S.","Elliott, Frank S."
Elsie,Elsie
"Emery, C. D.","Emery, C.D."
Empress Manufacturing Company,Empress Manufacturing Company
Empress of Canada,Canadian Pacific Steamships Ocean Services Limited
Eng Chow Company,Eng Chow Company
England. Board of Trade,England. Board of Trade
"Erny, E.","Erny, E."
Esquimalt and Nanaimo Railway Company,Esquimalt and Nanaimo Railway Company
Esquimalt and Nanaimo Railway Company. Land Department,Esquimalt and Nanaimo Railway Company
"Evatt, G. J. H.","Evatt, G.J.H."
"Ewart, Peter","Ewart, Peter"
F.G. Clover,F.G. Clover Co.
Fairfield Shipbuilding & Engineering Company Limited,Fairfield Shipbuilding and Engineering Company
Fairfield Shipbuilding and Engineering Company,Fairfield Shipbuilding and Engineering Company
Fairfield Shipbuilding and Engineering Company Limited,Fairfield Shipbuilding and Engineering Company
"Finch, W. G.","Finch, W. G."
"Finley, W. B.","Finley, W.B."
First District of California,First District of California
"Fiske, George","Fiske, George"
"Fleming Brothers (Victoria, B.C.)","Fleming Brothers (Victoria, B.C.)"
"Fleming, S.","Fleming, Sandford"
"Fleming, Sandford, 1827-1915.","Fleming, Sandford"
"Fleming, Sandford, Sir, 1827-1915.","Fleming, Sandford"
"Fong, Get","Fong, Get"
"Fong, Roy","Fong, Roy"
"Ford, Ashley","Ford, Ashley"
"Ford, Basil","Ford, Basil"
"Forde, Jno","Forde, Jno"
"Forde, John.","Forde, John"
"Forster, J.J.","Forster, J.J."
"Forster, Mr. and Mrs.","Forster, Mr. and Mrs."
Fort William. Office of the Resident Engineer,Fort William. Office of the Resident Engineer
Fourways Travel Limited,Fourways Travel Limited
Frames' Tours Ltd.,Frames' Tours 
"Frank, Edward","Frank, Edward"
"Frank, Leonard","Frank, Leonard"
"Franklin, Benjamin, 1907-1988","Franklin, Benjamin"
"Fraser, Donald","Fraser, Donald"
"Fraser, James Alexander","Fraser, James Alexander"
"Fraser, John A.","Fraser, John A."
"Fraser, Norman","Fraser, Norman"
"Fredrick, F.","Fredrick, F."
French Line,Compagnie Generale Transatlantique
G. High Company,G. High Company
G.H.E. Hudson,"Hudson, G.H.E. "
"Gallagher, Mary","Gallagher, Mary"
"Gardiner, David","Gardiner, David"
"Gascogne, Margaret","Gascogne, Margaret"
"Gay, W. R.","Gay, W.R."
Geological Survey of Canada,Geological Survey of Canada
George J. Drobey Canadian Overseas Tours,Canadian Overseas Tours
Gibb Yip,"Yip, Gibb"
"Gibbon, J. Murray","Gibbon, J. Murray"
"Gibson, Joyce","Gibson, Joyce"
"Gillespie, Gordon Fraser","Gillespie, Gordon Fraser"
Gim Lee Yuen Ltd.,Gim Lee Yuen Limited
Glasgow Bulletin,Glasgow Bulletin
Glenbow Museum,Glenbow-Alberta Institute. Glenbow Museum
Glenbow-Alberta Institute. Glenbow Museum,Glenbow-Alberta Institute. Glenbow Museum
Glenbow-Alberta Institute. Glenbow Museum.,Glenbow-Alberta Institute. Glenbow Museum
Glenbow-Alberta Institute. Glenbow-Alberta Museum,Glenbow-Alberta Institute. Glenbow Museum
Globe and Mail,Globe and Mail
"Godden, P. H.","Godden, P.H."
"Goetz, Peter","Goetz, Peter"
Golden Dragon,Golden Dragon (Restaurant)
Golden Dragon (restaurant),Golden Dragon (Restaurant)
Golden North Hotel,Golden North Hotel
"Gordon Photos, Vancouver, B.C.",Gordon Photos
"Gordon, F.","Gordon, F."
Government of British Columbia,Government of British Columbia
Government of Canada,Government of Canada
Government of Canada. Department of the Secretary of State of Canada.,Government of Canada. Department of the Secretary of State of Canada.
Government of the Dominion of Canada,Government of the Dominion of Canada
Gowen Sutton Company,Gowen Sutton Company
"Gowland, Gladys M.","Gowlland, Gladys M."
"Gowlland, Gladys M.","Gowlland, Gladys M."
Granada Studio,Granada Studio
Grandview United Young People's Society,Grandview United Young People's Society
"Grant, George M.","Grant, George Monro"
Graphic Industries Ltd.,Graphic Industries
"Gray, H. L.","Gray, H.L."
Great Britain. Admiralty,Great Britain. Admiralty
Great Indian Peninsula Railway,Great Indian Peninsula Railway
Great North Western Telegraph Company of Canada,Great North Western Telegraph Company of Canada
Great Northern Railway,Great Northern Railway
Greater Vancouver Convention & Visitors Bureau,Greater Vancouver Convention and Visitors Bureau
Greek Line,Greek Line
"Gribble, Bernard","Gribble, Bernard"
Guaranty Company of New York,Guaranty Company of New York
"H, B and S",Herbert Bushell and Son
H. Shorey & Company,H. Shorey & Company
H.M. Rose,"Rose, H.M."
"Hale, Katherine","Hale, Katherine"
Hall,Hall China Company
Hamburg America Lines,Hamburg-American Line
Hamburg-America Line,Hamburg-American Line
Hamburg-American Line,Hamburg-American Line
"Hamilton, Gordon","Hamilton, Gordon"
"Hamilton, John","Hamilton, John"
"Hamilton-Temple-Blackwood, Frederick","Hamilton-Temple-Blackwood, Frederick"
"Hammer, Eric","Hammer, Eric"
Hammersley,Hammersley & Co. Bone China 
"Hanawalt, John","Hanawalt, John"
"Hanley, Ann","Hanley, Ann"
"Hardcastle, J. H.","Hardcastle, J.H."
Hardinges,Hardinges
Harpers Weekly,Harpers Weekly
"Harris, Frann","Harris, Frann"
"Hart, Alfred A.","Hart, Alfred A."
"Harwood, H. S. and Mrs. Harwood","H.S. Harwood, Mr. and Mrs. "
Hastings Photo,Hastings Photo
"Haynes, F. Jay","Haynes, Frank Jay"
"Heathorn, Arthur","Heathorn, Arthur"
"Heeney, T.","Heeney, T."
"Hesketh, Les.","Hesketh, Les."
"Hewson, M. Butt","Hewson, M. Butt"
"Hilder, A. H.","Hilder, A.H."
Hill,Hill
Hiram L. Piper Company,Hiram L. Piper Company
"Hodge, George","Hodge, George"
"Hodge, Jack R.","Hodge, Jack R."
"Hodges, J. K.","Hodges, J.K."
Hodson,Hodson
"Holland, A. J.","Holland, A.J."
Holland-America Line,Holland-America Line
"Holling, R.","Holling, R."
Hong Kong Tourist Association,Hong Kong Tourist Association
Hong Wo & Co,Hong Wo & Co. 
"Hong, Hing So","Hong, Hing So"
"Hong, L.B.","Hong, L.B."
Hongkong & Shanghai Hotels Ltd.,Hongkong & Shanghai Hotels Ltd. 
Hongkong Daily Press,Hongkong Daily Press
"Honolulu Rapid Transit Co., Ltd.",Honolulu Rapid Transit 
"Horetzky, Charles","Horetzky, Charles"
"Hosken, Alexander James","Hosken, Alexander James"
Hotel Governor Clinton,Hotel Governor Clinton
Hotel Mar,Hotel Mar
Hotel Negresco,Hotel Negresco
Hotel Touring & Red Ox,Hotel Touring and Red Ox
Hotel Vancouver,Canadian Pacific Railway Company. Canadian Pacific Hotels. Hotel Vancouver
"Howard, Roy E.","Howard, Roy E."
"Howe, Walter S.","Howe, Walter S."
Huataico,Huatai Co. 
Hudson's Bay Company,Hudson's Bay Company
"Hughes, E. J.","Hughes, E.J."
"Hughes, Lee","Hughes, Lee"
"Hunter, George","Hunter, George"
"Hutchinson, J. R.","Hutchinson, J.R."
"Huxtable, Nils","Huxtable, Nils"
Illustrated London News,Illustrated London News
Imperial Art Studio,Imperial Art Studio
"Ing, Douglas","Ing, Douglas"
International Railway Publishing Company,International Railway Publishing Company
International Silver Company of Canada,International Silver Company of Canada
International Travel Service Limited,International Travel Service Limited
"Ireland, W. E.","Ireland, W.E."
"Isherwood, J. H.","Isherwood, J.H."
J. Alf Dagenais Elite Studio,J. Alf Dagenais Elite Studio
J. and G. Meakins,J. and G. Meakin
J. H. Baxten,"Baxter, J.H. "
J. White,"White, J. "
J.C. Deagan Musical Bells,J.C. Deagan Musical Bells
Jack Cash Photographic Studios,Jack Cash Photographic Studios
"Jackman, W. T.","Jackman, W.T."
"Jackson, Alexander Young","Jackson, Alexander Young"
James Boring Co. Inc.,James Boring Co.
"James Orr Marples, Illuminator","Orr Marples, James"
"James, William A.","James, William A."
Japan Tourist Bureau,Japan Tourist Bureau
Jen Jen Studio,Jen Jen Studio
"Jenner, Paul","Jenner, Paul"
John Maddock and Sons,John Maddock and Sons
Johnson,Johnson Studio
"Johnson, C. Nesbit","Johnson, C. Nesbit"
"Johnson, C. W.","Johnson, C.W."
"Johnson, W. H.","Johnson, W.H."
"Johnston, J. R. Y.","Johnston, J.R.Y."
"Jolicoeur, E. P.","Jolicoeur, E.P."
"Joliffe, A.L.","Joliffe, A.L."
Jones Beach Marine Theatre,Jones Beach Marine Theatre
"Jones, David L.","Jones, David L."
"Jones, Walter R.","Jones, Walter R."
"Jue, Frank","Jue, Frank"
Justice of the peace for the province of British Columbia,British Columbia. Justice of the Peace. 
Kam Yen Jan Co. Ltd.,Kam Yen Jan Co. Ltd.
"Kan, Thomas","Kan, Thomas"
Karl Kre? Wwe. & Co.,Karl Kre? Wwe. and Co.
"Kauffmann, G. Y.","Kauffmann, G.Y."
"Kee, Lee","Lee, Kee"
Keefer Florist Company,Keefer Florist Company
"Keefer, G. A.","Keefer, G.A."
"Keefer, Thomas C.","Keefer, Thomas C."
Kelly,"Kelly, J.D. "
Kennedy,Kennedy Photographer
Kennedy Photographer,Kennedy Photographer
"Kennedy, Howard Angus","Kennedy, Howard Angus"
"Kepment, Lee","Lee, Kepment"
"Kerr, R.","Kerr, R."
Kessler Productions,Kessler Productions
"Kilburn, B.W.","Kilburn, Benjamin West"
King Studio,King Studio
"King, Cecil","King, Cecil"
"King, E.F.","King, E.F."
"King, Marcus","King, Marcus"
"King, William Lyon Mackenzie","King, William Lyon Mackenzie"
"Kinney, Katherine Olivia","Kinney, Katherine Olivia"
"Kirkwood, S. J.","Kirkwood, S.J."
"Kitzig, W.","Kitzig, W."
"Knight, Geo. H.","Knight, Geo H. "
"Knight, H. U.","Knight, H.U."
Knights Ltd.,Knights Limited
Knights of Columbua,Knights of Columbua
"Ko, C. Y.","Ko, C.Y."
Kodak Canada Inc.,Kodak Canada Inc.
"Kopas, Clifford R.","Kopas, Clifford R."
Krass studio,Krass studio
"Kuo Seun Co., Ltd.",Kuo Seun Co.
Kuomintang,Chinese Nationalist League
Kwong Man Sang Co. Ltd.,Kwong Man Sang Co. 
"Kwong, On Wo","Kwong, On Wo"
"LaFleur, Flossie Adelia Studley","LaFleur, Flossie Adelia Studley"
"Lam, David","Lam, David"
"Lamy, J.","Lamy, J."
"Landers, Frary and Clark","Landers, Frary and Clark"
"Langdon, Shepard and Company","Langdon, Shepard and Company"
"Langelier, F.","Langelier, F."
"Langevin, H. L.","Langevin, H.L."
"Langevin, Hector, Sir, 1826-1906.","Langevin, Hector-Louise, Sir"
"Larson, T. N.","Larson, T.N."
"Laurier, Wilfred","Laurier, Wilfred"
"Lavallee, Omer","Lavallee, Omer"
"Lavallee, Omer","Lavallee, Omer"
"Lawrence, Annie","Lawrence, Annie"
"Lawrence, Clare","Lawrence, Clare"
"Lawrence, George R.","Lawrence, George R."
"Leader-Post, Regina","Leader-Post, Regina"
Lee Bo Hong,"Lee, Bo Hong"
"Lee, Jake","Lee, Jake"
"Lee, Joe","Lee, Joe"
"Lee-Young, Johanne","Lee-Young, Johanne"
"Lefroy, Walter J. M.","Lefroy, Walter J.M."
Legislative Assembly of the Territory of Washington,Legislative Assembly of the Territory of Washington
"Leighton, Alfred Crocker","Leighton, Alfred Crocker"
"Leonard, J. M.","Leonard, J.M."
Leong Ding Bong,Leong Ding Bong
"Leslie, J.","Leslie, J."
"Lewis, J. Baines","Lewis, J. Baines"
"Lie, Jan","Lie, Jan"
"Light, John P.","Light, John P."
"Lim, Bang","Lim, Bang"
Limoges,Limoges
Lin Shing Co.,Lin Shing Co.
"Lindsay, Jack","Lindsay, Jack"
"Lines, Kenneth W.","Lines, Kenneth W."
"Lockett, Alan","Lockett, Alan"
"Logan, Maurice","Logan, Maurice"
London News Agency,London News Agency
"Loney, Don","Loney, Don"
Loo Shaw Studio,Loo Shaw Studio
Lovick Studio,Lovick Studio
Lucerne-in-Quebec Community Association Limited,Lucerne-in-Quebec Community Association Limited
"Lum, Berll","Lum, Berll"
"Lum, Bertha","Lum, Bertha"
"Lynch, Dr.","Lynch, Dr. "
"Lynde, Peter","Lynde, Peter"
"M, W. F.","M., W.F. "
"M., J.","M.,J. "
"Macbeth, Madge","Macbeth, Madge"
"MacBeth, R. G.","MacBeth, R.G."
"MacDonell, Andrew","MacDonell, Andrew "
"MacDonell, Father Andrew",Mundy Maps Co. 
"MacDonell, Roderick Andrew","MacDonell, Roderick Andrew"
"Macdougall, William","Macdougall, William"
"MacInnis, Grace and Angus MacInnis","MacInnis, Grace; MacInnis, Angus "
"Mackenzie, A. D.","Mackenzie, A.D."
"Mackinnon, D.P.","Mackinnon, D.P."
"Mackintosh, Norman","Mackintosh, Norman"
Maclean's Magazine,Maclean's Magazine
"Macleod, H.","Macleod, H."
"MacMunn, Charles","MacMunn, Charles"
Mandarin Garden Cabaret,Mandarin Garden Cabaret
"Mann, James S.","Mann, James S."
Mappin and Webb,Mappin and Webb 
Marcel Photographic Reproductions,Marcel Photographic Reproductions
Marine Design Associates Limited,Marine Design Associates 
Marine Food Service Equipment and Furnishings,Marine Food Service Equipment and Furnishings
Mark Ten Suie Trading Company,Mark Ten Suie Trading Company
"Martin, Chester","Martin, Chester"
"Mason, Frank M.","Mason, Frank M."
"Matheson, Charles Winfield","Matheson, Charles Winfield"
Maurice,"Logan, Maurice "
"Maynard, R.","Maynard, R."
Mayo and Weed,Mayo and Weed
Mayor's Office of Vancouver,Mayor's Office of Vancouver
May's Photo,May's Photo
"McCann, Leonard G.","McCann, Leonard G. "
"McCormick, J. M.","McCormick, J.M."
"McDonnell, T.E.","McDonnell, T.E."
"McGreer, G. G.","McGreer, G.G."
"McGregor, Helen","McGregor, Helen"
"McInnis, Dan","McInnis, Dan"
"McIntyre, Duncan","McIntyre, Duncan"
"McKee, Wm. C.","McKee, Wm. C. "
"McKell, James","McKell, James"
"McLelan, A. W.","McLelan, A.W."
McLelland & Stewart Limited,McLelland & Stewart Limited
"McLeod, M.","McLeod, M."
"McMartin, Pete","McMartin, Pete"
"McMorrow, John","McMorrow, John"
"McNeill, A.B. (Burt)",Burt
"McPherson, Marion","McPherson, Marion"
"Meany, Edmond S.","Meany, Edmond S."
Medalta,Medalta
Medford House,Medford House
"Meirat, Jean","Meirat, Jean"
"Meiser, J.A.","Meiser, J.A."
"Menzies, Thomas Philip Oxenham","Menzies, Thomas Philip Oxenham"
Metcalf,Metcalf
Michigan Central Railroad,Michigan Central Railroad
"Millard, C.","Millard, C."
"Millett, George","Millett, George"
"Milligan, Doris S.","Milligan, Doris S."
Minton,Minton
Missionary Society Church of England in Canada,Missionary Society Church of England in Canada
Mitchell,Mitchell
"Mitchell, William","Mitchell, William"
"Mitchell-Foley, Ltd","Mitchell-Foley, Ltd"
"Moberly, Walter","Moberly, Walter"
Mohawk,Mohawk
Mon Fa Printers,Mon Fa Printers
Montreal Gazette,Montreal Gazette
Montreal Herald and Daily Commercial Gazette,Montreal Herald and Daily Commercial Gazette
Moore,Moore
"Moore, [Elbridge W.]"," Moore, [Elbridge W.]"
"Moore, Gary","Moore, Gary"
"Moore, M. W.","Moore, M.W."
"Morant, Nicholas","Morant, Nicholas"
"Morck, G.","Morck, G."
Morley Co. Ltd.,Morley Co. Ltd.
"Morris, Elizabeth Keith","Morris, Elizabeth Keith"
"Morris, J.","Morris, J."
"Morris, Keith","Morris, Keith"
Morton-Parke,Morton-Parke
Mount Stephen Club,Mount Stephen Club
Mowell & Morrison,Mowell & Morrison
Mrs. Pearson's Blue Bird Inn,Mrs. Pearson's Blue Bird Inn
"Muir, Jessie","Muir, Jessie"
"Murchie, Archibald","Murchie, Archibald"
"Musk, George","Musk, George"
"Mylett, W.J.","Mylett, W.J."
N.Y.K. Line,N.Y.K. Line
Nan Young Hong Association,Nan Young Hong Association
National Defense Photograph Canada,National Defense Photograph Canada
National Museum of Science and Technology,National Museum of Science and Technology
National Safety Council,National Safety Council
National Turkish Tourist Agency,National Turkish Tourist Agency
Native Sons of British Columbia,Native Sons of British Columbia
Natural color productions,Natural color productions
"Neal, W.M.","Neal, W.M."
Nederland Royal Mail Line,Nederland Royal Mail Line
"Neilsen, Hedlay","Neilsen, Hedlay"
"Nelson, [Christopher A.]","Nelson, C. A. "
New Summits College,New Summits College
New Westminster Chinese Patriotic Society,New Westminster Chinese Patriotic Society
"Newton, Derek","Newton, Derek"
"Nichol, Alex","Nichol, Alex"
Nicholas Morani,"Morant, Nicholas"
"Nimmo, Joseph Jr.","Nimmo, Joseph Jr."
"Norman, Henry","Norman, Henry"
North Pacific Press,North Pacific Press
North Staffordshire Potter Company,North Staffordshire Pottery Company
North Staffordshire Pottery Company,North Staffordshire Pottery Company
Northwestern Steamship Co. Ltd.,Northwestern Steamship Co. Ltd.
Notman and Son,William Notman and Son Photography
"Notman, William","Notman, William"
Oelrichs and Co,Oelrichs and Co.
"Office of Registrar Births, Deaths, and Marriages","British Columbia. Office of Registrar, Births, Deaths, and Marraiges."
Office of the Surveyor General,Office of the Surveyor General
Office Specialty Manufacturing Company,Office Specialty Manufacturing Company
"Ogden, Isaac G.","Ogden, Isaac G."
"Ohori, Joe","Ohori, Joe"
Ontario and Quebec Railway Company,Ontario and Quebec Railway Company
"Osadchuk, Greg","Osadchuk, Greg"
P. Lawson Travel,P. Lawson Travel
Pacific Steamship Company,Canadian Pacific Steamship Company
"Palmer, Alfred T.","Palmer, Alfred T."
"Pansing, Fred","Pansing, Fred"
Parmelee Company,Parmelee Company
Paterson,Paterson
W. B.,W.B.
"Patten, C. R.","Patten, C.R."
"Patterson, Harry","Patterson, Harry"
"Paulsson, Erik","Paulsson, Erik"
"Peach, Jack","Peach, Jack"
"Pearce, J.","Pearce, J."
Peiping-Liaoning Railway,Peiping-Liaoning Railway
Peiping-Lioning Railway,Peiping-Liaoning Railway
Pender Y.W.C.A,Pender Y.W.C.A
Peninsular and Oriental Steam Navigation Company,Peninsular and Oriental Steam Navigation Company
"Peters, Denis","Peters, Denis"
"Phillips, James W.","Phillips, James W."
"Phillips, Percival","Phillips, Percival"
"Phillips, W. J.","Phillips, W.J."
Photogelatine Engraving Co. Limited,Photogelatine Engraving Co.
"Piltz, Stanley A.","Piltz, Stanley A."
"Pinnington, Bernard","Pinnington, Bernard"
Piper,Piper
"Plumb, J. B.","Plumb, J.B."
Pokwong,Pokwong
Pokwong [Bowguang studio?],Baoguang Photography
Political Activities of the Chinese,Political Activities of the Chinese
"Pollard, Harry","Pollard, Harry"
"Poole Bros, Chicago",Poole Bros. Chicago.
"Poon, Joanne Mei-Chu","Poon, Joanne Mei-Chu"
"Pope, Joseph","Pope, Joseph"
"Power, Sir James, and Lady Power","Power, Sir James, and Lady Power"
"Pratt, F.D.","Pratt, F.D."
"Pratt, George R.","Pratt, George R."
Price Printing Limited,Price Printing Limited
"Price, J. Glanville","Price, J. Glanville"
Prince George Limited Partnership,"Ritchie, G.W. ; Prince George Limited Partnership "
Prince Rupert Daily News,Prince Rupert Daily News
"Prior, H.K.","Prior, H.K."
"Prior, Melton","Prior, Melton"
Procter & Gamble,Proctor & Gamble
Province of British Columbia,Province of British Columbia
Provincial Planning Board,Provincial Planning Board
Puget Sound Navigation Company,Puget Sound Navigation Company
Pullman Company,Pullman Company
Pullman's Palace Car Company,Pullman's Palace Car Company
"Pynn, Larry","Pynn, Larry"
R. H. Trueman & Company,R.H. Trueman & Company
R. M. Truman & Co.,R.H. Trueman & Company
Radfords,Radfords
Railway Appliance Research,Railway Appliance Research
Ramona Mar,"Mar, Ramona"
"Ramsey, Carolyn","Ramsey, Carolyn"
Rand & Lipsett,Rand & Lipsett
"Randal, Alan","Randal, Alan"
"Ratcliffe, E. M. E.","Ratcliffe, E.M.E."
Raymond & Whitcomb Company. Travel Guide Department,Raymond & Whitcomb Company. 
"Reilly, J. J.","Reilly, J.J."
Revelstoke Historical Association,Revelstoke Historical Association
Richard Beard Gallery,Richard Beard Gallery
Richard Beard Marine Paintings,Richard Beard Marine Paintings
"Richardson, C.","Richardson, C."
"Richardson, Carrie Ingels","Richardson, Carrie Ingels"
"Richardson, Carrie Ingels (Family)","Richardson, Carrie Ingels"
"Richardson, Florence","Richardson, Florence Elizabeth"
"Richardson, Florence Elizabeth","Richardson, Florence Elizabeth"
"Richardson, Mary Caroline","Richardson, Mary Caroline"
"Richeson, David R.","Richeson, David R."
"Richmond, Leonard","Richmond, Leonard"
Rickshaw Chinese Food,Rickshaw Chinese Food
Ridgway Potteries,Ridgway Potteries
"Ritchie, Alick P. F.","Ritchie, Alick P.F."
"Robinson, Captain Samuel","Robinson, Captain Samuel"
"Robinson, Howard","Robinson, Howard"
"Robinson, Hugh G.","Robinson, Hugh G."
"Robinson, S.","Robinson, Captain Samuel"
"Robinson, W. Heath","Robinson, William Health"
"Rodgers, John","Rodgers, John"
"Rodmell, Harry Hudson","Rodmell, Harry Hudson"
"Rogers, Albert Bowman, 1829-1889","Rogers, Albert Bowman"
"Rose, Cowan & Latta",Lum Ting
Rosenthal,Rosenthal
"Rosenvinge, Odin","Rosenvinge, Odin"
Rosetti Studios,Rosetti Studios
Roxborough Kootenay Hotel,Roxborough Kootenay Hotel
Royal Canadian Geographical Society,Royal Canadian Geographical Society
Royal Mail Turbine Steamers. Allan Line,Allan Line Royal Mail Steamers
Royal Naval Reserve,Royal Naval Reserve
Royal Worcester,Royal Worcester
"Rutter, Thomas H.","Rutter, Thomas H."
"Ryan, Jim","Ryan, Jim"
S. Singh,"Singh, S. "
S.J. Thompson,"Thompson, Stephen Joseph"
Sai Wo Studio,Sai Wo Studio
Saint John Board of Trade,"Board of Trade (Saint John, N.B.)"
Sam Wo Hing & Co.,Sam Wo Hing & Co. 
"Sanders Phillips & Co, Ltd.",Sanders Phillips and Co. 
Sandman Inn,Sandman Inn
"Sandys, Ed. W.","Sandys, Ed.W."
"Schramm, Mathieu","Schramm, Mathieu"
"Schreiber, Collingwoods","Schreiber, Collingwoods"
"Schrüder, Robert","Schruder, Robert"
"Scidmore, Eliza Ruhamah","Scidmore, Eliza Ruhamah"
Scottish Immigrant Aid Society,Scottish Immigrant Aid Society
"Seal, Elizabeth Rayner","Seal, Elizabeth Rayner"
Secretary of State of Canada,Government of Canada. Department of the Secretary of State of Canada.
Seth Thomas Clock Company,Seth Thomas Clock Company
"Shackleton, Katherine","Shackleton, Kathleen"
"Shapkin, Linda","Shapkin, Linda"
"Shaughnessy, Thomas G.","Shaughnessy, Thomas G."
"Shaw, R. H.","Shaw, R.H."
"Shaw, Robert Henry","Shaw, Robert Henry"
"Shaw, S.M.I.","Shaw, C.G. "
"Sherriff, J.A.","Sherriff, J.A."
"Sherriff-Scott, Adam, 1887â€“1980","Sherriff-Scott, Adam"
Shipbuilder,Shipbuilder Press 
Shipbuilding & Shipping Record,Shipbuilding and Shipping Record
Shipbuilding and Shipping Record,Shipbuilding and Shipping Record
"Shoesmith, Kenneth","Shoesmith, Kenneth"
"Silbersten, Mervyn D.","Silbersten, Mervyn D."
Silver Spring Brewery Limited,Silver Spring Brewery Limited
"Simpson, Chas W.","Simpson, Chas W."
"Simpson, George N.Y.","Simpson, George N.Y."
Sing Tao Daily,Sing Tao Daily
"Sing, Sam","Sing, Sam"
Skene Lowe,"Lowe, Skene"
Skene Sowe,"Lowe, Skene"
"Slevin, L.","Slevin, L."
Sloan,Sloan
"Smith, David","Smith, David"
"Smith, Donald","Smith, Donald"
"Smith, Franklin","Smith, Franklin"
"Smith, J. Harry","Smith, J. Harry"
"Smithers, Charles Francis","Smithers, Charles Francis"
"Soo, John","Soo, John"
"Sorensen, Chris","Sorensen, Chris"
Southern Pacific Company,Southern Pacific Company
Sovereign,Sovereign Potters
"Spooner, J. Pitcher","Spooner, J. Pitcher"
Sport & General,"Sport & General Press Agency, Ltd."
"St. John, Molyneux, 1838-1904.","St. John, Molyneux"
"Stanford, Edward","Stanford, Edward"
"Stanton, Robert B.","Stanton, Robert B."
"Staynes, Percy Angelo","Staynes, Percy Angelo"
Steele & Co.,Steele and Company
Steele & Company,Steele and Company
"Stein, Alva D., Jr.","Stein, Alva D., Jr. "
"Stephen, George","Stephen, George"
"Stockbill, C. E.","Stockbill, C.E."
Story Photo Company,Story Photo Company
"Stuerken, E. A.","Stuerken, E.A."
Suey Sang Chong Co.,Suey Sang Chong Co. 
Sugar News Company,Sugar News Company
"Sullivan, J.","Sullivan, J."
Sun Chung Wah Company,Sun Chung Wah Company
Sun Peking,Sun Peking Chinese Chop Suey House
"Sun, L.H.","Sun, L.H."
"Sung, Ham","Sung, Ham"
"Sung, Quong","Sung, Quong"
"Sung, Yick","Sung, Yick"
Supreme Moslem Council,Supreme Moslem Council
Sutherland,Sutherland
"Swales, G.O.","Swales, G.O."
"Sykes, Frank B.","Sykes, Frank B."
Syracuse,Syracuse China Corporation
T Long's Special Agency,T Long's Special Agency
"T. H. Davies & Co., Ltd. Travel Department",Theo H. Davies and Company. Travel Department.
Taber Studio,Taber Studio
Tacoma News Tribune,Tacoma News Tribune
"Tang, Bob","Tang, Bob"
Tapestry New Opera Works,Tapestry New Opera Works
"Tapping, Minnie E.","Tapping, Minnie E."
"Tasse, Joseph","Tasse, Joseph"
"Tavis, G.H.","Tavis, G.H."
Taylor and Kent,Taylor and Kent
"Taylor, Alice","Taylor, Alice"
"Taylor, J.M.","Taylor, J.M."
Temple Tours,Temple Tours
Territorial Auditor [Territory of Washington],Washington (Territory). Auditor. 
